Date,Territory,Target,Reference,Observed,Expected,Difference,p-value
04-22-2024,BBF2,BBF2,BBF3,73.34769689,142.1101769,-68.76247996,1
04-22-2024,BBF2,BBF3,BBF2,260.5251877,214.2361906,46.2889971,0
04-22-2024,BBF3,BBF2,BBF3,140.6152608,142.2848273,-1.669566429,0.559
04-22-2024,BBF3,BBF3,BBF2,275.7862161,216.1384274,59.64778865,0
04-26-2024,frye1,frye1,frye3,146.4196645,117.6661113,28.75355316,0.001
04-26-2024,frye1,frye3,frye1,150.9235537,131.0831816,19.84037209,0.028
04-26-2024,frye3,frye1,frye3,142.563135,116.904857,25.65827795,0.005
04-26-2024,frye3,frye3,frye1,127.414919,132.1719778,-4.757058774,0.678
04-27-2024,frye1,frye1,frye4,119.5768368,143.6643718,-24.08753506,0.991
04-27-2024,frye1,frye1,frye3,116.9263146,107.2483539,9.677960738,0.122
04-27-2024,frye1,frye3,frye1,132.7237502,120.5237982,12.19995202,0.112
04-27-2024,frye1,frye4,frye1,137.0406649,153.396392,-16.35572708,0.941
04-27-2024,frye3,frye1,frye3,121.3340952,105.8136921,15.52040304,0.043
04-27-2024,frye3,frye3,frye4,32.14338116,72.8035687,-40.66018754,1
04-27-2024,frye3,frye3,frye1,113.9079117,119.8341141,-5.926202356,0.718
04-27-2024,frye3,frye4,frye3,73.56121066,68.61269096,4.9485197,0.235
04-27-2024,frye4,frye1,frye4,125.4019538,141.9156001,-16.51364639,0.951
04-27-2024,frye4,frye3,frye4,62.96779788,71.59559812,-8.627800239,0.886
04-27-2024,frye4,frye4,frye3,57.25415726,68.21270162,-10.95854436,0.947
04-27-2024,frye4,frye4,frye1,123.7391937,152.2154504,-28.4762567,0.999
04-30-2024,power1,power1,power2,220.428036,198.2673108,22.16072523,0.028
04-30-2024,power1,power2,power1,238.4237324,194.6773103,43.74642211,0
04-30-2024,power2,power1,power2,259.3432334,199.3198817,60.02335165,0
04-30-2024,power2,power2,power1,210.3137179,195.5440472,14.76967064,0.082
05-06-2024,frye31,frye31,frye32,46.97048515,58.23324066,-11.26275551,0.969
05-06-2024,frye31,frye32,frye31,74.4032307,91.68964277,-17.28641207,0.989
05-06-2024,frye32,frye31,frye32,66.47570744,91.85329808,-25.37759064,1
05-06-2024,frye32,frye32,frye31,49.62562615,58.84217827,-9.216552126,0.931
05-07-2024,frye31,frye31,frye32,111.3025229,105.4480454,5.854477495,0.231
05-07-2024,frye31,frye32,frye31,77.94255837,67.32553532,10.61702305,0.053
05-07-2024,frye32,frye31,frye32,112.0644732,105.3285505,6.735922751,0.184
05-07-2024,frye32,frye32,frye31,57.31868992,67.17227084,-9.853580918,0.942
06-09-2023,chick2,chick2,chick3,205.5883635,198.7117401,6.876623348,0.263
06-09-2023,chick2,chick3,chick2,206.9755715,204.1755418,2.800029683,0.401
06-09-2023,chick3,chick2,chick3,200.3182356,196.5666921,3.75154355,0.373
06-09-2023,chick3,chick3,chick2,192.2009033,203.7240603,-11.52315697,0.835
06-11-2023,cham1,cham1,cham2,123.8184947,121.2755016,2.54299305,0.379
06-11-2023,cham1,cham2,cham1,90.55831249,136.4160795,-45.85776706,1
06-11-2023,cham2,cham1,cham2,115.1217571,121.0837058,-5.961948634,0.74
06-11-2023,cham2,cham2,cham1,79.89094678,136.4489237,-56.55797694,1
06-22-2023,BBF8,BBF8,GB1,93.19538222,29.74633698,63.44904524,0
06-22-2023,BBF8,GB1,BBF8,95.5752763,32.18331917,63.39195714,0
06-22-2023,GB1,BBF8,GB1,94.06493016,29.72104573,64.34388443,0
06-22-2023,GB1,GB1,BBF8,111.4103217,32.34441649,79.06590519,0
06-23-2023,BBF3,BBF3,BBF9,119.8757608,54.36230314,65.51345763,0
06-23-2023,BBF3,BBF3,BBF8,135.6635291,71.62273942,64.04078972,0
06-23-2023,BBF3,BBF8,BBF3,110.1549232,64.09169223,46.06323094,0
06-23-2023,BBF3,BBF9,BBF3,85.33825242,39.83131016,45.50694226,0
06-23-2023,BBF8,BBF3,BBF8,125.6595726,71.49740793,54.16216465,0
06-23-2023,BBF8,BBF8,BBF9,266.2217502,216.6933788,49.52837145,0
06-23-2023,BBF8,BBF8,BBF3,123.8385208,64.34038846,59.49813229,0
06-23-2023,BBF8,BBF9,BBF8,178.3893719,178.7216023,-0.332230441,0.502
06-23-2023,BBF9,BBF3,BBF9,113.3893136,53.01270167,60.37661189,0
06-23-2023,BBF9,BBF8,BBF9,240.5583308,214.6469129,25.91141794,0.018
06-23-2023,BBF9,BBF9,BBF8,170.9858248,178.9319239,-7.94609906,0.743
06-23-2023,BBF9,BBF9,BBF3,83.0756979,39.88650803,43.18918986,0
07-07-2023,peter1,peter1,peter2,91.07491423,78.18211077,12.89280346,0.023
07-07-2023,peter1,peter2,peter1,44.92352481,51.10317803,-6.179653223,0.877
07-07-2023,peter2,peter1,peter2,81.30551074,78.51920902,2.786301721,0.342
07-07-2023,peter2,peter2,peter1,52.23899862,51.66160183,0.577396794,0.448
